United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses",Murder and Nonnegligent Manslaughter,"Negligent
Manslaughter","Justifiable
Homicide","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With An
Object",Fondling,"Sex
Offenses,
Nonforcible",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit Card/
Automated
Teller
Machine Fraud","Imperson-
ation","Welfare
Fraud","Wire
Fraud","Larceny-
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin-
operated
Machine","Theft
From
Motor
Vehicle","Theft of
Motor
Vehicle
Parts or
Accessories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses ","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Porno-
graphy/
Obscene
Material","Prost-
itution
Offenses","Prost-
itution","Assisting
or Pro-
moting
Prost-
itution","Weapon
Law
Violations"
,,Alleghany,,90,8,67,15,1,1,,,,7,1,1,,5,,,,3,,46,2,84,1,,23,10,8,1,,4,103,,1,1,6,,13,2,80,2,1,,36,28,8,,,,,,,,,,8
,,Bath,,5,,5,,,,,,,,,,,,,,,,,7,,5,1,,2,,,,1,1,18,,,1,4,,4,,9,,1,,3,3,,,,,,,,,,,
,,Bland,,10,,10,,,,,,,,,,,,,,,,,17,,15,,,2,,,1,,1,46,,,1,2,,7,,36,,1,,9,8,1,,,,,,,,,,2
,,Brunswick,,32,6,24,2,,,,,2,3,1,,1,1,,,,1,,41,3,29,1,,5,2,1,2,,,53,,,3,,,2,,48,12,2,1,26,26,,,,,,,1,,,,8
,,Buchanan,,336,27,266,43,1,1,,,4,19,2,3,2,12,,,,2,,114,25,135,,3,53,35,10,7,,1,298,,,22,3,1,16,15,241,22,3,12,74,65,9,,,,,,12,,,,19
,,Carroll,,180,14,162,4,,,,,3,9,4,3,2,,,,,3,,82,4,129,,,21,6,14,1,,,284,,,8,52,1,42,3,178,22,1,3,82,78,4,,,,,,3,,,,17
,,Charlotte,,115,15,89,11,1,1,,,,6,4,,1,1,,,,2,,47,1,34,,,8,4,3,,1,,89,,,4,8,,10,6,61,1,3,1,91,91,,,,,,,1,,,,3
,,Cumberland,,87,19,58,10,,,,,,1,,,,1,1,,1,1,,18,3,26,,,2,2,,,,,39,,,3,1,,1,1,33,6,,1,28,26,2,,,,,,,,,,7
,,Dickenson,,94,6,85,3,1,1,,,2,9,,,3,6,,,,,,9,4,28,,,8,3,1,4,,,122,,,2,14,,5,1,100,11,,2,32,29,3,,,,,,,,,,10
,,Essex,,66,16,47,3,,,,,1,8,1,1,,6,,,,,,38,1,50,,,10,4,6,,,,46,,,,6,,6,12,22,5,,2,23,22,1,,,,,,,,,,7
,,Grayson,,100,10,89,1,1,1,,,1,7,2,2,,3,,,,6,,35,11,64,1,,29,7,7,12,,3,118,,,1,34,,7,7,69,13,1,2,67,64,3,,,,,,3,,,,14
,,Greensville,,62,13,49,,,,,,1,5,1,2,1,1,,,,1,,35,2,44,,,14,4,2,,7,1,79,,,1,3,,6,8,61,6,,1,83,73,10,,,,,,,,,,7
,,Halifax,,199,24,159,16,,,,,6,20,3,9,1,7,1,,1,3,,147,4,226,,,34,3,15,12,,4,307,1,1,5,46,1,61,28,164,23,3,2,60,44,16,,,,,,1,,,,13
,,Henry,,654,151,445,58,5,5,,,11,38,8,2,6,22,,,,6,,379,58,273,11,,210,105,66,37,1,1,846,1,,219,40,1,111,101,373,76,28,,280,245,35,,,,,,8,,,,52
,,Highland,,6,1,5,,,,,,,,,,,,1,,1,,,3,,11,,,3,,2,,,1,2,,,,,,,,2,,,,2,2,,,,,,,,,,,2
,,King and Queen,,49,6,38,5,,,,,,3,1,,1,1,1,,1,1,,13,3,16,,,2,1,1,,,,10,,,1,4,,1,1,3,3,,,54,54,,,,,,,,,,,2
,,King George,,293,15,239,39,,,,,2,21,5,2,,14,2,,2,2,,57,6,166,3,,83,19,60,3,,1,280,,,51,34,2,36,20,137,13,3,2,100,97,3,,,,,,2,,,,12
,,Lancaster,,43,1,42,,,,,,,5,4,,,1,1,,1,2,,18,2,95,,,16,8,8,,,,79,,,,1,,3,,75,5,1,,24,23,1,,,,,,,,,,4
,,Lee,,128,19,109,,1,1,,,1,8,3,,3,2,,,,1,,97,6,61,,,16,12,1,,3,,233,1,,22,2,,,,208,1,9,,16,16,,,,,,,,,,,5
,,Louisa,,209,30,166,13,1,1,,,1,28,7,4,1,16,1,1,,5,,71,16,217,4,,66,25,26,14,,1,353,67,,39,65,,24,5,153,25,1,1,54,52,2,,,,,,8,,,,16
,,Lunenburg,,85,16,65,4,,,,,1,2,1,,,1,,,,1,,40,,37,,,3,2,,1,,,49,,,,1,,3,5,40,9,,,49,46,3,,,,,,1,,,,5
,,Madison,,102,5,74,23,1,1,,,2,8,4,1,,3,1,,1,3,,17,3,45,1,,29,18,7,4,,,131,,,10,24,,20,1,76,2,1,1,45,43,2,,,,,,9,,,,5
,,Mecklenburg,,83,21,59,3,,,,,4,19,8,3,3,5,,,,13,,152,108,106,2,1,52,34,17,1,,,220,,,6,2,,23,2,187,12,4,8,20,19,1,,,,,,1,,,,7
,,Middlesex,,40,3,36,1,,,,,4,7,4,,1,2,2,1,1,,,17,4,52,,,17,5,3,8,,1,38,,1,3,11,,6,3,14,2,,1,10,10,,,,,,,,,,,11
,,Northampton,,95,6,89,,,,,,2,8,2,1,,5,,,,,,57,3,40,2,,14,3,6,3,,2,100,,,,37,,21,5,37,11,4,,9,8,1,,,,,,1,,,,5
,,Northumberland,,85,8,76,1,1,1,,,,2,2,,,,,,,1,,7,4,44,,,7,1,4,,,2,47,1,,5,7,,1,1,32,2,,,25,22,3,,,,,,,,,,9
,,Nottoway,,54,4,50,,,,,,,1,,,,1,,,,1,,20,,40,,,3,1,2,,,,90,,,2,13,,14,6,55,2,,1,12,12,,,,,,,,,,,3
,,Orange,,77,15,57,5,1,1,,,,13,5,4,1,3,1,,1,,,42,4,106,2,,10,6,4,,,,180,,,9,77,1,23,11,59,7,2,,56,44,12,,,,,,3,,,,6
,,Page,,80,11,59,10,2,2,,,,11,3,2,2,4,,,,11,,62,4,86,1,,30,11,14,,3,2,157,,,6,14,,35,6,96,6,4,3,144,102,42,,,,,,12,,,,5
,,Patrick,,143,15,128,,,,,,,10,3,,1,6,,,,1,,66,12,104,1,,33,20,6,7,,,225,,,30,45,,10,16,124,29,5,,96,94,2,,,,,,4,,,,18
,,Pittsylvania,,394,15,378,1,1,1,,,9,31,6,3,1,21,,,,6,,192,8,168,5,,29,2,13,,,14,344,1,1,29,97,1,55,12,148,16,8,,183,172,11,,,,,,7,,,,50
,,Prince Edward,,46,7,39,,,,,,,6,5,,1,,,,,,,47,1,35,,,5,1,1,2,,1,39,,1,,6,,12,1,19,4,3,,14,14,,,,,,,,,,,4
,,Richmond,,37,1,35,1,,,,,,1,,,,1,,,,1,,7,1,31,1,,9,3,5,1,,,27,,,1,2,,2,1,21,8,,1,25,25,,,,,,,1,,,,3
,,Rockbridge,,166,16,149,1,,,,,1,10,1,,,9,,,,4,,97,8,144,4,,51,19,25,6,,1,201,,1,30,19,1,47,13,90,13,3,1,115,91,24,,,,,,1,1,1,,12
,,Russell,,228,42,175,11,,,,,5,36,6,6,6,18,,,,4,,114,5,102,,,27,17,7,3,,,187,,,1,5,,16,7,158,9,1,1,120,108,12,,,,,,5,,,,21
,,Shenandoah,,228,23,185,20,,,,,6,23,2,,1,20,2,,2,2,,104,7,202,3,,69,36,24,9,,,245,,,3,92,,58,7,85,7,4,4,71,70,1,,,,,,6,,,,15
,,Smyth,,226,13,199,14,2,2,,,2,14,1,3,2,8,2,,2,14,,77,13,135,3,,23,12,11,,,,287,,,2,10,2,16,2,255,12,2,1,129,126,3,,,,,,2,,,,19
,,Southampton,,227,20,194,13,,,,,,11,3,,1,7,3,3,,2,,91,7,147,,1,25,5,16,3,,1,222,,,6,27,1,34,12,142,29,4,2,103,100,3,,,,,,1,,,,23
,,Surry,,68,19,35,14,1,1,,,,3,,1,,2,,,,1,,28,2,14,1,,7,6,,,,1,35,,,4,12,,4,1,14,7,3,,5,5,,,,,,,,,,,7
,,Tazewell,,381,26,352,3,,,,,6,28,10,1,5,12,,,,2,2,140,23,159,5,2,35,25,6,1,,3,425,,1,97,34,,35,20,238,27,3,2,330,295,35,,,,,,20,,,,32
,,Westmoreland,,147,10,129,8,,,,,5,3,1,2,,,,,,5,,37,6,97,4,,23,8,9,4,1,1,137,,,9,22,,17,3,86,6,,5,123,122,1,,,,,,1,,,,12
,,Wise,,248,19,229,,4,4,,,8,28,7,,10,11,,,,2,,141,12,157,4,,22,11,4,5,,2,248,,,10,14,,32,,192,24,6,,68,58,10,,,,,,1,,,,18
,,Wythe,,50,12,38,,,,,,4,9,2,,1,6,,,,,,15,3,38,2,,20,13,3,4,,,77,2,,9,,,1,,65,3,1,1,158,145,13,,,,,,,,,,16
,State Police Agencies,State Police:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Accomack County,,18,10,7,1,,,,,,,,,,,,,,39,1,1,2,4,,,2,1,,1,,,18,,,2,,,,,16,1,1,1,80,80,,,,,,,,,,,4
,,Albemarle County,,3,1,2,,,,,,,,,,,,,,,,,,1,,,,10,10,,,,,3,,,,,,,,3,,,,29,26,3,,,,,,,,,,3
,,Alleghany County,,,,,,,,,,,,,,,,,,,1,,,1,,,,4,4,,,,,2,,,,,,,,2,,,,41,41,,,,,,,,,,,1
,,Amelia County,,2,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,2,,,,4,4,,,,,,,,,,,2
,,Amherst County,,,,,,,,,,,,,,,,,,,,,,1,,,,5,4,,1,,,,,,,,,,,,1,,,18,18,,,,,,,,,,,1
,,Appomattox County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,
,,Arlington County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Augusta County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,
,,Bath County,,3,,1,2,1,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,16,16,,,,,,,,,,,1
,,Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bedford County,,3,,3,,,,,,,,,,,,,,,,1,,2,1,,,8,8,,,,,5,,,,,,,,5,4,,,10,10,,,,,,,,,,,1
,,Bland County,,4,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,1,,,,4,,,,22,20,2,,,,,,,,,,2
,,Botetourt County,,5,4,1,,,,,,,,,,,,,,,,,1,,1,,,2,2,,,,,,,,,,,,,,,,,37,37,,,,,,,,,,,3
,,Brunswick County,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,,1,,,,,2,,,,8,6,2,,,,,,,,,,
,,Buchanan County,,14,2,12,,,,,,1,,,,,,,,,4,,4,,9,,,5,5,,,,,13,,,,,,,,13,2,1,,7,4,3,,,,,,,,,,2
,,Buckingham County,,1,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,2,,,,,,,,2,,,,9,9,,,,,,,,,,,
,,Buena Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campbell County,,1,,1,,,,,,,,,,,,,,,,,,1,3,,,4,4,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,2
,,Caroline County,,9,2,7,,,,,,,1,1,,,,,,,1,,2,1,1,,,4,4,,,,,12,,,,,,2,,10,5,,,14,10,4,,,,,,,,,,1
,,Carroll County,,3,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,1,,1,1,,,24,22,2,,,,,,,,,,
,,Charles City County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,,,,,,,
,,Charlotte County,,,,,,,,,,,,,,,,,,,,,,,1,,,4,4,,,,,,,,,,,,,,,,1,62,62,,,,,,,,,,,
,,Chesapeake,,3,1,2,,,,,,,,,,,,,,,,,1,3,,,,14,14,,,,,4,,,,,,1,,3,8,,,20,20,,,,,,,,1,1,,3
,,Chesterfield County,,17,12,4,1,,,,,,,,,,,,,,,,,7,3,2,,24,16,1,7,,,4,,,,,,,,4,3,,,122,93,29,,,,,,,,,,9
,,Clarke County,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,2,1,,,15,15,,,,,,,,,,,1
,,Clifton Forge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Colonial Heights,,1,1,,,,,,,,,,,,,,,,,,,1,,,,4,4,,,,,,,,,,,,,,,,,17,14,3,,,,,,,,,,3
,,Craig County,,2,1,,1,,,,,,4,,1,,3,,,,,,1,1,,,,4,3,,,,1,4,,,,,,,,4,,,,12,11,1,,,,,,,,,,
,,Culpeper County,,4,1,3,,1,1,,,,,,,,,,,,,,,,2,1,,4,4,,,,,1,,,,,,,,1,,,,35,33,2,,,,,,,,,,
,,Cumberland County,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,10,10,,,,,,,,,,,1
,,Danville,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,2,,,,,,,,2,1,,,45,44,1,,,,,,,,,,3
,,Dickenson County,,3,2,1,,,,,,,3,1,,,2,,,,4,,,,1,2,,4,4,,,,,8,,,,,,,,8,2,,,9,9,,,,,,,,,,,
,,Dinwiddie County,,8,8,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,37,36,1,,,,,,,,,,1
,,Essex County,,4,2,2,,,,,,,,,,,,,,,,,,,3,,,4,2,1,1,,,2,,,1,,,,,1,1,,,1,,1,,,,,,,,,,1
,,Fairfax City,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fairfax County,,25,5,20,,,,,,,2,2,,,,,,,,,,9,8,1,,53,53,,,,,17,,,,2,,2,,13,7,,3,171,162,9,,,,,,,,,,4
,,Fauquier County,,2,,1,1,,,,,,,,,,,,,,,,,1,,,,5,4,,1,,,1,,,,,,,,1,,,2,80,79,1,,,,,,,,,,
,,Floyd County,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,35,34,1,,,,,,,,,,2
,,Fluvanna County,,2,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,12,9,3,,,,,,,,,,
,,Franklin County,,6,4,2,,,,,,,2,1,,,1,,,,,,1,1,3,1,,9,9,,,,,5,,,,,,,,5,2,,,22,22,,,,,,,,,,,2
,,Frederick County,,2,1,1,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,3,,,,,,,,3,,,,149,146,3,,,,,,,,,,4
,,Fredericksburg,,,,,,,,,,,,,,,,,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,19,19,,,,,,,,,,,1
,,Galax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,2,,,,,,,,,,,
,,Giles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,7,7,,,,,,,,,,,
,,Gloucester County,,4,1,3,,,,,,1,,,,,,,,,,,,,1,1,,8,8,,,,,4,,,1,,,,,3,1,,1,78,77,1,,,,,,,,,,2
,,Goochland County,,1,,1,,,,,,,3,,2,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,2,,,,16,12,4,,,,,,,,,,2
,,Grayson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,7,7,,,,,,,,,,,
,,Greene County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,
,,Greensville County,,3,3,,,,,,,,,,,,,,,,,,,1,,,,3,3,,,,,,,,,,,,,,,,,18,14,4,,,,,,,,,,
,,Halifax County,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,5,5,,,,,10,,,,1,,3,,6,1,,,211,210,1,,,,,,,,,,2
,,Hampton,,4,4,,,,,,,,,,,,,,,,,,,2,1,,,44,44,,,,,1,,,,,,,,1,1,,1,44,43,1,,,,,,,,,,8
,,Hanover County,,2,,1,1,,,,,,,,,,,,,,,,,1,,,,44,42,,2,,,2,,,1,,,,,1,1,,,66,56,10,,,,,,,,,,35
,,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,2,,,,6,6,,,,,2,,,,,,2,,,,,,263,261,2,,,,,,,,,,2
,,Henrico County,,10,6,4,,,,,,,,,,,,,,,,,,2,,1,,21,20,,,1,,12,,,,,,,,12,3,,,64,36,28,,,,,,,,,,19
,,Henry County,,1,,1,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,4,,,,,,1,,3,1,1,,10,10,,,,,,,,,,,
,,Isle of Wight County,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,9,8,1,,,,,,,,,,
,,King and Queen County,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,
,,King George County,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,1,,,,,,,,1,1,,,5,4,1,,,,,,,,,,
,,Lee County,,2,,2,,,,,,,,,,,,,,,3,,,,,,,2,2,,,,,2,,,,,,,,2,1,,,7,4,3,,,,,,,,,,
,,Lexington,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
,,Loudoun County,,2,,2,,,,,,,,,,,,,,,,,,1,,1,,18,18,,,,,1,,,,,,,,1,,,,21,21,,,,,,,,,,,1
,,Louisa County,,3,,2,1,,,,,,,,,,,,,,,,3,1,,,,1,1,,,,,2,,,,2,,,,,,,1,72,71,1,,,,,,,,,,
,,Lunenburg County,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,1,,,47,47,,,,,,,,,,,1
,,Lynchburg,,1,,1,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,1,,,,,,,,1,,,,74,74,,,,,,,,,,,2
,,Madison County,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,21,20,1,,,,,,,,,,
,,Manassas,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
,,Manassas Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Martinsville,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mecklenburg County,,2,,2,,,,,,,,,,,,,,,,,,1,3,,,1,1,,,,,1,,,,,,,,1,2,,,351,335,16,,,,,,,,,,2
,,Montgomery County,,2,1,1,,,,,,,,,,,,,,,2,,,2,1,1,,2,2,,,,,1,,,,,,,,1,,,,200,200,,,,,,,,,,,
,,Nelson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,
,,New Kent County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,26,10,,,,,,,,,,1
,,Newport News,,1,1,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,1,,1,20,20,,,,,,,,,,,3
,,Norfolk,,3,,3,,,,,,,,,,,,,,,,,,1,,,,72,72,,,,,1,,,,,,,,1,8,,,26,26,,,,,,,,,,,4
,,Northampton County,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,47,45,2,,,,,,,,,,
,,Northumberland County,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
,,Norton,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nottoway County,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,4,4,,,,,,,,,,,1
,,Orange County,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,1,,,54,51,3,,,,,,,,,,1
,,Page County,,2,,2,,,,,,,,,,,,,,,,,,,2,1,,2,2,,,,,1,,,,,,,,1,1,,1,111,103,8,,,,,,,,,,4
,,Patrick County,,,,,,,,,,,,,,,,,,,1,,,,,,,2,2,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,
,,Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,71,65,6,,,,,,,,,,
,,Pittsylvania County,,,,,,,,,,,,,,,,1,,1,,,,1,2,,,8,8,,,,,14,,,,1,,,,13,15,,,5,5,,,,,,,,,,,
,,Portsmouth,,1,,,1,,,,,,,,,,,,,,,,,1,,,,18,18,,,,,,,,,,,,,,4,,,6,6,,,,,,,,,,,
,,Powhatan County,,15,7,8,,,,,,,,,,,,,,,,,,1,,,,3,1,,2,,,,,,,,,,,,,,,8,6,2,,,,,,,,,,
,,Prince Edward County,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,
,,Prince George County,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,7,6,1,,,,,,,,,,
,,Prince William County,,12,7,4,1,,,,,3,1,1,,,,,,,1,,,1,6,,,36,34,,2,,,8,,,,,,,,8,4,,1,94,94,,,,,,,,,,,6
,,Pulaski County,,1,,1,,,,,,,6,,,,6,,,,,,,,1,,,,,,,,,7,,,,,,,,7,,,,5,3,2,,,,,,,,,,1
,,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Richmond,,2,2,,,,,,,,,,,,,,,,1,,,2,1,,,5,5,,,,,1,,,,,,,,1,2,1,,85,68,17,,,,,,,,,,5
,,Richmond County,,1,,1,,,,,,1,2,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
,,Roanoke,,2,,1,1,,,,,,,,,,,,,,1,,,,,1,,18,18,,,,,2,,,1,,,1,,,,,,30,30,,,,,,,,,,,2
,,Roanoke County,,6,3,2,1,,,,,,2,2,,,,,,,,,,3,,,,16,16,,,,,3,,,,1,,,,2,,,,17,17,,,,,,,,,,,1
,,Rockbridge County,,1,,1,,,,,,,1,,,,1,,,,1,,,,1,,,2,2,,,,,1,,,,,,,,1,1,,1,48,47,1,,,,,,,,,,1
,,Rockingham County,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,16,,,,1,1,3,,11,19,,1,185,181,4,,,,,,,,,,14
,,Russell County,,,,,,1,1,,,,5,,,,5,,,,1,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salem,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,2,,,,,,,,2,,,,2,2,,,,,,,,,,,
,,Scott County,,5,1,4,,,,,,,,,,,,,,,2,,,1,1,,,5,5,,,,,2,,,1,,,,,1,1,,,7,6,1,,,,,,,,,,1
,,Shenandoah County,,1,1,,,1,,,1,,,,,,,,,,1,,,1,5,,,1,1,,,,,2,,,,,,,,2,3,,,176,169,7,,,,,,,,,,1
,,Smyth County,,5,1,4,,,,,,,1,1,,,,,,,,,,,3,,,7,7,,,,,2,,,,,,,,2,2,,,21,19,2,,,,,,,,,,6
,,Southampton County,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,4,3,1,,,,,,,,,,
,,South Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spotsylvania County,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,2,,,,,,,,,,
,,Stafford County,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,1,,1,1,,,34,24,10,,,,,,,,,,
,,Surry County,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
,,Tazewell County,,2,1,,1,,,,,,1,1,,,,,,,5,,,,,,,4,4,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,
,,Virginia Beach,,1,,1,,,,,,,,,,,,,,,,1,,6,1,,,58,58,,,,,7,,,,1,,,,6,3,,,34,33,1,,,,,,,,,,5
,,Warren County,,1,,1,,,,,,,,,,,,,,,,,,,4,,,2,2,,,,,1,,,,,,,,1,,,,336,329,7,,,,,,,,,,6
,,Washington County,,5,3,2,,,,,,,,,,,,,,,,,,,1,1,,10,10,,,,,2,,,,,,,,2,1,,,10,9,1,,,,,,,,,,1
,,Waynesboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,
,,Westmoreland County,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,,,,,
,,Winchester,,,,,,,,,,,,,,,,,,,,,,,1,,,3,3,,,,,2,,,,,,1,,1,,,,124,121,3,,,,,,,,,,1
,,Wise County,,5,1,3,1,,,,,,1,,,,1,1,,1,1,,,1,,,1,4,4,,,,,3,,,,,,,,3,,,,9,9,,,,,,,,,,,
,,Wythe County,,1,,1,,,,,,,,,,,,,,,,,,,2,,,10,10,,,,,17,,,1,,,1,,15,3,,,22,22,,,,,,,,,,,3
,Other Agencies,Alcoholic Beverage Control Commission,,3,,3,,,,,,,,,,,,,,,,,,35,1,5,,13,4,,9,,,29,,,19,,,,,10,,,1,54,50,4,,,,,,,1,1,,3
,,Department of Conservation and Recreation,,1,,1,,,,,,,,,,,,,,,,,1,1,7,,,1,,,1,,,61,1,,,,,49,,11,,,,7,6,1,,,,,,,,,,1
,,"Department of Game and Inland Fisheries, Enforcement Division",,8,4,3,1,,,,,,,,,,,,,,,,,,11,,,18,13,,5,,,18,,,,,,,,18,,,2,144,143,1,,,,,,,,,,198
,,Department of Motor Vehicles,,,,,,,,,,,,,,,,,,,,3,,345,1,5,1,46,43,,3,,,3,,,,,,,,3,8,,36,,,,,,,,,,,,,
,,Norfolk Airport Authority,,11,,10,1,,,,,,,,,,,,,,,,,,6,1,,2,2,,,,,66,,,,2,,9,1,54,4,,,2,2,,,,,,,,,,,10
